HOME,DATE,INOUT,GRASSTURF,SPREAD,OULINE,OUACTUAL,TEMPERATURE,RELHUMIDITY,WINDSPEED,WINDCHILL,AWAY
MIN,20100919,Indoors,sportturf,-6,41,24,69.5,37.5,0,69.5,MIA
CLE,20100919,outdoors,grass ,-3,38,30,65,0,16,63.72930407,KC
SD,20100919,outdoors,grass ,-7,45,51,76,63,8,76,JAC
WAS,20100919,outdoors,grass ,-3,42.5,57,85,43,6,85,HOU
GB,20100919,outdoors,grass ,-13,43,41,58,51,4,58,BUF
DAL,20100919,Indoors,matrixturf,-7,41.5,47,69.5,37.5,0,69.5,CHI
SF,20100920,outdoors,grass ,-5,43.5,47,65,60,10,64.62818583,NO
NYG,20100926,outdoors,fieldturf,-3,43.5,39,70,48,3,70,TEN
JAC,20100926,outdoors,grass ,-3,45,31,89,67,5,89,PHI
TB,20100926,outdoors,grass ,-3,33,51,90,62,7,90,PIT
ARI,20100926,Indoors,grass ,-5.5,39,47,69.5,37.5,0,69.5,OAK
SEA,20100926,outdoors,fieldturf ,-4,44,47,68,0,10,68,SD
KC,20100926,outdoors,grass ,-3,38,41,55,72,10,52.23393081,SF
STL,20100926,Indoors,astroplay ,-5,39,46,69.5,37.5,0,69.5,WAS
MIA,20100926,outdoors,grass ,-2.5,36,54,83,77,9,83,NYJ
NO,20100926,Indoors,sportturf,-3,49.5,51,69.5,37.5,0,69.5,ATL
MIN,20100926,Indoors,sportturf,-13,43,34,69.5,37.5,0,69.5,DET
HOU,20100926,Indoors,grass ,-2.5,47.5,40,69.5,37.5,0,69.5,DAL
DEN,20100926,outdoors,grass ,-6,47,40,85,12,6,85,IND
BAL,20100926,outdoors,fieldturf ,-12.5,36.5,41,64,83,6,64,CLE
CAR,20100926,outdoors,grass ,-3.5,37,27,67,86,8,67,CIN
NE,20100926,outdoors,fieldturf ,-14.5,43,68,68,0,11,68,BUF
CHI,20100927,outdoors,grass ,-3,46.5,37,56,75,6,54.8130809,GB
PHI,20101003,outdoors,grass ,-5,43.5,29,63,57,13,61.60292627,WAS
ATL,20101003,Indoors,fieldturf ,-7,42.5,30,69.5,37.5,0,69.5,SF
STL,20101003,Indoors,astroplay ,-2,40,23,69.5,37.5,0,69.5,SEA
PIT,20101003,outdoors,grass ,-2.5,34.5,31,52,86,5,50.56711065,BAL
BUF,20101003,outdoors,astroplay ,-6,37,52,51,66,16,45.70170405,NYJ
OAK,20101003,outdoors,grass ,-3.5,44,55,71,53,15,71,HOU
GB,20101003,outdoors,grass ,-14.5,46,54,52,61,8,49.20106563,DET
TEN,20101003,outdoors,grass ,-6.5,43.5,46,54,67,13,50.20967238,DEN
NO,20101003,Indoors,sportturf,-12.5,44,30,69.5,37.5,0,69.5,CAR
NYG,20101003,outdoors,fieldturf,-3.5,44,20,59,52,14,56.34997191,CHI
CLE,20101003,outdoors,grass ,-2.5,37,43,50,0,10,46.0368033,CIN
JAC,20101003,outdoors,grass ,-7,46,59,80,30,10,80,IND
SD,20101003,outdoors,grass ,-9.5,46.5,51,72,67,8,72,ARI
MIA,20101004,outdoors,grass ,-1,48,55,80,60,15,80,NE
DAL,20101010,Indoors,matrixturf,-7,43,61,69.5,37.5,0,69.5,TEN
ARI,20101010,Indoors,grass ,-7,45.5,50,69.5,37.5,0,69.5,NO
HOU,20101010,Indoors,grass ,-3,48.5,44,69.5,37.5,0,69.5,NYG
SF,20101010,outdoors,grass ,-3,38.5,51,71,51,10,71,PHI
DET,20101010,Indoors,fieldturf ,-3,42.5,50,69.5,37.5,0,69.5,STL
